name,place,date,price,url,scraped_at
FILM SAHBEK RAJEL 2 - HAMMAM LIF - 03 ET 04 JANIVER,complexe culturel Ali ben ayed hammem lif,03 Janvier 2026 à 15:00,9 TND,https://teskerti.tn/evenement/film-sahbek-rajel-2-hammam-lif-03-et-04-janiver,2026-01-04T15:45:11.136417
AD VITAM,Théâtre Le 4ème Art,04 Janvier 2026 à 18:00,15 TND,https://teskerti.tn/evenement/ad-vitam,2026-01-04T15:45:11.194261
FILM SAHBEK RAJEL 2 - MENZAH 6,Centre Culturel Menzah 6,04 Janvier 2026 à 19:30,13 TND,https://teskerti.tn/evenement/film-sahbek-rajel-2-menzah-6,2026-01-04T15:45:11.245616
ISSAM AYARI IS DONALD,Centre Culturel Menzah 6,09 Janvier 2026 à 20:00,30 TND,https://teskerti.tn/evenement/issam-ayari-is-donald-6941c8dfd67c4,2026-01-04T15:45:11.295356
KLAY BBJ,Salle Colisée,10 Janvier 2026 à 19:30,20 TND,https://teskerti.tn/evenement/klay-bbj,2026-01-04T15:45:11.345186
TOUSKIÉ,Salle Africa,17 Janvier 2026 à 19:00,30 TND,https://teskerti.tn/evenement/touskie,2026-01-04T15:45:11.392925
TOUNSI W NOSS,Zéphyr La Marsa,23 Janvier 2026 à 20:00,25 TND,https://teskerti.tn/evenement/tounsi-w-noss,2026-01-04T15:45:11.440691
FILM SAHBEK RAJEL 2 - HAMMAM LIF - 03 ET 04 JANIVER,complexe culturel Ali ben ayed hammem lif,03 Janvier 2026 à 15:00,9 TND,https://teskerti.tn/evenement/film-sahbek-rajel-2-hammam-lif-03-et-04-janiver,2026-01-04T15:45:11.487262
AD VITAM,Théâtre Le 4ème Art,04 Janvier 2026 à 18:00,15 TND,https://teskerti.tn/evenement/ad-vitam,2026-01-04T15:45:11.551585
FILM SAHBEK RAJEL 2 - MENZAH 6,Centre Culturel Menzah 6,04 Janvier 2026 à 19:30,13 TND,https://teskerti.tn/evenement/film-sahbek-rajel-2-menzah-6,2026-01-04T15:45:11.602433
ISSAM AYARI IS DONALD,Centre Culturel Menzah 6,09 Janvier 2026 à 20:00,30 TND,https://teskerti.tn/evenement/issam-ayari-is-donald-6941c8dfd67c4,2026-01-04T15:45:11.656095
KLAY BBJ,Salle Colisée,10 Janvier 2026 à 19:30,20 TND,https://teskerti.tn/evenement/klay-bbj,2026-01-04T15:45:11.707948
TOUSKIÉ,Salle Africa,17 Janvier 2026 à 19:00,30 TND,https://teskerti.tn/evenement/touskie,2026-01-04T15:45:11.764715
TOUNSI W NOSS,Zéphyr La Marsa,23 Janvier 2026 à 20:00,25 TND,https://teskerti.tn/evenement/tounsi-w-noss,2026-01-04T15:45:11.817726
FILM SAHBEK RAJEL 2 - HAMMAM LIF - 03 ET 04 JANIVER,complexe culturel Ali ben ayed hammem lif,03 Janvier 2026 à 15:00,9 TND,https://teskerti.tn/evenement/film-sahbek-rajel-2-hammam-lif-03-et-04-janiver,2026-01-04T15:45:11.876734
AD VITAM,Théâtre Le 4ème Art,04 Janvier 2026 à 18:00,15 TND,https://teskerti.tn/evenement/ad-vitam,2026-01-04T15:45:11.927912
FILM SAHBEK RAJEL 2 - MENZAH 6,Centre Culturel Menzah 6,04 Janvier 2026 à 19:30,13 TND,https://teskerti.tn/evenement/film-sahbek-rajel-2-menzah-6,2026-01-04T15:45:11.986700
ISSAM AYARI IS DONALD,Centre Culturel Menzah 6,09 Janvier 2026 à 20:00,30 TND,https://teskerti.tn/evenement/issam-ayari-is-donald-6941c8dfd67c4,2026-01-04T15:45:12.030926
KLAY BBJ,Salle Colisée,10 Janvier 2026 à 19:30,20 TND,https://teskerti.tn/evenement/klay-bbj,2026-01-04T15:45:12.106843
TOUSKIÉ,Salle Africa,17 Janvier 2026 à 19:00,30 TND,https://teskerti.tn/evenement/touskie,2026-01-04T15:45:12.149040
TOUNSI W NOSS,Zéphyr La Marsa,23 Janvier 2026 à 20:00,25 TND,https://teskerti.tn/evenement/tounsi-w-noss,2026-01-04T15:45:12.192908
