name,place,date,price,url,scraped_at
FILM SAHBEK RAJEL 2 - HAMMAM LIF - 03 ET 04 JANIVER,complexe culturel Ali ben ayed hammem lif,03 Janvier 2026 à 15:00,9 TND,https://teskerti.tn/evenement/tounsi-w-noss,2026-01-04T15:59:58.576766
AD VITAM,Théâtre Le 4ème Art,04 Janvier 2026 à 18:00,15 TND,https://teskerti.tn/evenement/tounsi-w-noss,2026-01-04T15:59:58.612910
FILM SAHBEK RAJEL 2 - MENZAH 6,Centre Culturel Menzah 6,04 Janvier 2026 à 19:30,13 TND,https://teskerti.tn/evenement/tounsi-w-noss,2026-01-04T15:59:58.651065
ISSAM AYARI IS DONALD,Centre Culturel Menzah 6,09 Janvier 2026 à 20:00,30 TND,https://teskerti.tn/evenement/tounsi-w-noss,2026-01-04T15:59:58.685667
KLAY BBJ,Salle Colisée,10 Janvier 2026 à 19:30,20 TND,https://teskerti.tn/evenement/tounsi-w-noss,2026-01-04T15:59:58.732684
TOUSKIÉ,Salle Africa,17 Janvier 2026 à 19:00,30 TND,https://teskerti.tn/evenement/tounsi-w-noss,2026-01-04T15:59:58.785428
TOUNSI W NOSS,Zéphyr La Marsa,23 Janvier 2026 à 20:00,25 TND,https://teskerti.tn/evenement/tounsi-w-noss,2026-01-04T15:59:58.821130
FILM SAHBEK RAJEL 2 - HAMMAM LIF - 03 ET 04 JANIVER,complexe culturel Ali ben ayed hammem lif,03 Janvier 2026 à 15:00,9 TND,https://teskerti.tn/evenement/tounsi-w-noss,2026-01-04T15:59:58.858418
AD VITAM,Théâtre Le 4ème Art,04 Janvier 2026 à 18:00,15 TND,https://teskerti.tn/evenement/tounsi-w-noss,2026-01-04T15:59:58.892114
FILM SAHBEK RAJEL 2 - MENZAH 6,Centre Culturel Menzah 6,04 Janvier 2026 à 19:30,13 TND,https://teskerti.tn/evenement/tounsi-w-noss,2026-01-04T15:59:58.927932
ISSAM AYARI IS DONALD,Centre Culturel Menzah 6,09 Janvier 2026 à 20:00,30 TND,https://teskerti.tn/evenement/tounsi-w-noss,2026-01-04T15:59:58.965883
KLAY BBJ,Salle Colisée,10 Janvier 2026 à 19:30,20 TND,https://teskerti.tn/evenement/tounsi-w-noss,2026-01-04T15:59:59.002869
TOUSKIÉ,Salle Africa,17 Janvier 2026 à 19:00,30 TND,https://teskerti.tn/evenement/tounsi-w-noss,2026-01-04T15:59:59.040007
TOUNSI W NOSS,Zéphyr La Marsa,23 Janvier 2026 à 20:00,25 TND,https://teskerti.tn/evenement/tounsi-w-noss,2026-01-04T15:59:59.076999
