name;place;date;price;url;city;governorate;scraped_at
FILM SAHBEK RAJEL 2 - HAMMAM LIF - 03 ET 04 JANIVER;complexe culturel Ali ben ayed hammem lif;03 Janvier 2026 à 15:00;9 TND;https://teskerti.tn/evenement/film-sahbek-rajel-2-hammam-lif-03-et-04-janiver;Tunis;Tunis;04/01/2026 19:20
AD VITAM;Théâtre Le 4ème Art;04 Janvier 2026 à 18:00;15 TND;https://teskerti.tn/evenement/ad-vitam;Tunis;Tunis;04/01/2026 19:20
FILM SAHBEK RAJEL 2 - MENZAH 6;Centre Culturel Menzah 6;04 Janvier 2026 à 19:30;13 TND;https://teskerti.tn/evenement/film-sahbek-rajel-2-menzah-6;Tunis;Tunis;04/01/2026 19:20
ISSAM AYARI IS DONALD;Centre Culturel Menzah 6;09 Janvier 2026 à 20:00;30 TND;https://teskerti.tn/evenement/issam-ayari-is-donald-6941c8dfd67c4;Tunis;Tunis;04/01/2026 19:20
KLAY BBJ;Salle Colisée;10 Janvier 2026 à 19:30;20 TND;https://teskerti.tn/evenement/klay-bbj;Tunis;Tunis;04/01/2026 19:20
TOUSKIÉ;Salle Africa;17 Janvier 2026 à 19:00;30 TND;https://teskerti.tn/evenement/touskie;Tunis;Tunis;04/01/2026 19:20
TOUNSI W NOSS;Zéphyr La Marsa;23 Janvier 2026 à 20:00;25 TND;https://teskerti.tn/evenement/tounsi-w-noss;Tunis;Tunis;04/01/2026 19:20
LE MONDE CHANTE FOOTBALL;Théâtre des régions;24 Janvier 2026 à 19:00;40 TND;https://teskerti.tn/evenement/le-monde-chante-football;Tunis;Tunis;04/01/2026 19:20
